,phrase
253,"До битвы при Платеях греки решили, что оставят все разрушенные персами храмы в таком же состоянии, чтобы показать потомкам зверства варваров. Но уже при Перикле в Афинах решили построить новый акрополь вместо руин.  Вот они через 30 лет решили, что им уже не нужно помнить эту войну, а мы 70 лет помним. "
254,"Жизнь надо прожить так, чтобы, когда вы умрёте, ваши дети и внуки разхлёбывали то, что вы за свою долгую жизнь наделали."
255,"Для того чтобы успокоиться не надо стоять на гвоздях. Нужно поехать на какое-нибудь поле, озеро или речку... и орать. "
256,"Недавно увидел исследование Кембриджского университета. Мужчины выделяют на 41% больше парниковых газов, чем женщины. "
257,"Однажды моя одногруппница в ответ на вопрос ""Чем всё закончилось?"" сказала: ""Все умерли"". По сути это ответ на любой вопрос истории."
258,"– А как понять интеграл по замкнутому контуру по времени? – Ну как... мы время включили, прошли и выключили."
259,"Знали бы вы, как мне плохо, когда я вас вижу. Ни одна побочка от вакцины с этим не сравнится."
260,"У всех франкских имён есть переводы. Например, одна из жён королей – Фредегонда, «мир и война». То есть Лев Толстой вполне мог написать роман под названием «Фредегонда»."
261,"Вот сидим на зачёте с вами, и тут много других Ахмадиевых лезут со всех сторон, из окон и дверей. Множество меня. Вот так и хорезмийцы не знали, откуда берётся такая орда монголов."
262,"У Энгельса очень простой тезис: «греческую природу съели козы». Либих говорит о том, что греческая цивилизация пала из-за исчерпания плодородия почв."
263,Кто такой Древс? Заходите в интернет: Владимир Древс «Я попробовал все наркотики».
264,"Атомный паритет ничего хорошего не принесёт. Занятий не будет, дистанционки тоже не будет... Вы-то будете. Вы просто будете долго умирать."
265,"Вот смотрю, парни просто поднимают руку, а девушки – как-то змейкой."
266,"По одной из версий Ленин подцепил сифилис. Где? Наверное, в Казанском университете. Вы не болели ещё? Ничего, все ещё впереди! "
267,Это не просто ноль – это ноль с черточкой!
268,"– А если я вам дам алгоритм, который будет давать правильный результат, – это же хорошо? – Всегда правильный? – Всегда – понятие неопределенное."
269,"Поведение зависит от состояния здоровья. Не выпил – грустно, выпил – полегче."
270,"У вас, наверное, слово революция вызывает только негативные ассоциации. А неолитическая революция? Одни плюсы. Хотя, мамонты, возможно, не оценили."
271,"Карл Великий был прекрасный семьянин, не пил, не курил, женщин не любил... много."
272,"Что такое метод глубокой разведки? Вот я, Ахмадиев Фарит Нафисович, американский шпион, был заброшен сюда 40 лет назад."
273,Как это историки и не играли в Medieval: Total War?
274,"– Свет что делает? – Развеевается. – Не развеевается, а рассеивается. Развеевается прах студентов, несдавших коллоидную химию."
275,Россия очень богатая страна. Ну очень. Просто у нас с вами этого богатства нет.
276,"— Ну и по легенде...  *смех в аудитории* — Вот это вы знаете, да? Двумя ногами Игоря привязали к двум берёзкам согнутым, и Игоря разорвали... Берёзки. Напополам. Может не напополам как-то, две трети, одна треть. Две трети полетело в Киев, одна треть в Вышгород. В общем стало два князя Игоря. Вот это казнь, да? Вот это люди веселились. В Интернете куча картинок всяких есть, куча мемчиков на эту тему. Можете посмотреть."
277,"Как говорил Марк Блок: ""Историк там, где пахнет человечиной""."
278,"Анекдотичность имён братьев Рюрика отмечали ещё исследователи XVIII века. Просто со скандинавского языка выходит, что конунг пришёл со своим родом (Синеусом) и верной дружиной (Трувором)."
279,Какая гадость ваша заливная рыба! Какая прелесть – русские заливные луга!
280,*обьясняет принцип вектора*
281,"Кий, по мнению неонорманнистов, не князь у славян, а «Яндекс.Такси». Перевозкой людей через реку Днепр занимался. Он обычный таксист. Ну, «Переводчик-2», «Переводчик-3». Как Стэтхем, наверное, выглядел."
282,"Если бы кто-то из последних Меровингов сказал, что он больше не хочет пить, а хочет заниматься государственными делами, его бы сразу убили."
283,Реальный мир противоречий не содержит.
284,Чик чау.
285,"Королю Хлотарю, старшему сыну Хлодвига, тоже приписывают множество жён. Якобы ему так понравились две сестры, что он не знал, какую выбрать, и женился на обеих."
286,Сейчас покажу вам две презентации. Первая скучная. Я ее делала сама.
287,Вся наша жизнь – это всего лишь решение множественных задач на условный экстремум. 
288,*пытаемся решить задачу*
289,"Пётр приказал посадить в России тутовые деревья, но они не пошли. В России лучше сажали людей."
290,"Если я прямоугольник сдвигаю, то он сдвигается. "
291,"Сейчас секвенировать можно все, что угодно: пыль, грязь, кусок кирпича, штукатурки. Норвежцы вот секвенировали грязь."
292,Битие определяет сознание. 
293,"Почему планета там, звёзды?.. Что, где... что? Как там-то дальше и что вот?"
294,"Во франкском государстве на одном из церковных соборах решали есть ли у женщин душа. Решили что есть, а значит могут платить подушную подать."
295,"Раньше существовал Центральный государственный особый архив СССР, о существовании которого широкой общественности стало известно только в 1989. В конце Второй мировой была гонка за архивами, поэтому там чего только не было: чуть ли не больше половины архива –французские документы, голландские, испанские, португальские, даже архивы княжества Лихтенштейн как-то туда попали. В дипломатических отношениях не принято просто просить отдать архивы, поэтому князь Лихтенштейна приобрёл на аукционе архив Пушкина и подарил его России, а в ответ смог вернуть свой."
296,Хочу портрет на коне. Или парадный как у Екатерины Великой.
297,"— Сколько вас в комнатах в Деревне Универсиады проживает?  — По трое. — По четверо. — По шестеро. — Шестеро? Это как так?  — Ну вот так, три плюс три.  — Шведская семья, получается. "
298,"Однажды после большой победы Чингисхан поздравлял Субэдэя и сказал ему отметить. Субэдэй ответил, что согласно «Ясе» уже пил трижды в этом месяце, поэтому больше не должен. Ну Чингисхан сказал, что он пока пил дважды и в честь такого случая отдаёт Субэдэю свой последний раз."
299,"Я знаю, что я очень умна. Особенно рядом с вами. Я просто гений."
300,*типичная пара по рисунку*
301,"""Серп это не крюк Фредди Крюгера."""
302,"""Покажите мне то, не знаю что, так не знаю как."""
303,"""По утрам я не леплеспособен."""
304,"""Рыжкин добрый, он говорит вам, что вы молодцы и у вас все получится, а я говорю, что вы лохиии."""
305,"""Тебя не бесит эта голень?!? Почему тут чернота такая?? Почему он весь как грязный чёрт?"""
306,*о своём компьютере во время лекции*
307,"""Пусть только Кирилл напишет в чат видно или не видно презентацию. Не видно... Как не видно?! Кирилл, прекратите занимать наше время и пугать меня."""
308,"""Зачем тебе такая большая бутылка? Ты что алкоголичка?"""
309,"""Ты этот голубой убери с работы. Мы с Европой разругались, нам эта пидерастия не нужна."""
310,"""Вы будто очень пьяная это писали, потом ещё покурили и так обкурились конкретно… и бычок вот так вот о работу потушили зигзагом, будто это не вы писали, а толстый бородатый мужик."""
311,"""Всё в этом мире - графика. Живопись - это просто хреновая графика."""
312,"""Работа работой, а любовь по расписанию."""
313,"- Вот вы все им груди подтягиваете наверх, а вот они, они... *мечтательно смотрит в даль*   - Ну проехали!  *уходит*  "
314,"""Чем бы дитя не тешилось, лишь бы не беременело."""
315,"""Не, ну это уже классика, просто сфотографированная)."" Васильев А.В."
316,"*История о том, как родилась та самая постановка с матрасами вместо драпировок*"
317,(пятничный мем от кафедры рисунка >___<)
318,"""Ого, это у вас такой эскиз росписи кальянной? Хэх, если бы я такую роспись увидел тут вот в соседней кальянной, я бы от восторга ссал в потолок!"""
319,"""Если будете вести так работу, она у вас рассыпется. Понимаете, рис легко рассыпать, но собрать...""       "
320,Криволапов А.Н. #Рисунок_ЦитатыСтрог
321,Криволапов А.Н. #Рисунок_ЦитатыСтрог
322,"""Всех любим и обнимаем."""
323,"*с наступающим, так сказать*❄🛒🤡💥"
324,"- Так, а почему Жучков не выслал мне задание? - он в армии.. - Аа, понятно."
325,"""В тени может показаться, что к вам розовый единорог бежит."""
326,- До какого числа надо? - СРОЧНО!!!
327,"*лекция в зуме*  ""Девочки, убирайтесь!"""
328,"""Женское тело - оно же такое...его хочется трогать."""
329,"""Кто не ходил на рисунок - тому ПИИИИЗДЕЦ!"""
330,"""Живой классик - это оксюморон! Вы либо живой, либо классик.""    Сорокина В.В.  #ИсторияЛитературы_ЦитатыСтрог"
331,"""Да, нормальный она человек, если с ней не связываться."""
332,"""Кто плохо закомпонует, попадёт в ад. Точнее в Аидово царство, головы то у нас древнегреческие."""
333,"""Всё, не мучайте нас, выходите из эфира, не дышите тут!"""
334,"""Секс правит миром!"""
335,"С: Мне не нравится как у него нога лежит.. П: ну, конечно, вам не нравится, она ведь должна стоять, а не лежать."
336,"- Вы уже решили, о чём будет ваш диплом? - нет, я ещё на втором курсе. - Что вы! Вы должны были знать тему своего диплома, когда только поступали сюда."
337,"""Вот первокурсники вчера работали прямо на полу и были рады!"""
338,"""Если вам другой преподаватель сказал так делать, это же не значит, что надо так делать."""
339,"""Если вас лишают права рисовать перспективу - звоните в прокуратуру."""
340,"П: У него вместо руки крюк какой-то! С: он пират, как из Питер Пэна.)) П: И посмотри, у тебя человек без лица. С: да, он слэндермен. П: да, точно спидрмен! Ёк макарёк… "
341,"""Вот у меня 4 курс, у меня с ними вообще никаких проблем, потому что они знают, что я не иду на переговоры."""
342,- у меня проблемы. - материальные?  - и они тоже.
343,3...2...1...  РЕЗУЛЬТАТЫ КОНКУРСА!🤡💥 (https://vk.com/wall-114444282_1268)
344,"- Вы как-то далеко из детства ушли. Это с вами Строгановка сделала? - Это с нами жизнь сделала... - Ну так пойдёмте на детскую площадку, повеселимся!"
345,"""Феликс Яковлевич сказал, что Ольга Анатольевна просто переживает за нас, хочет, чтобы мы все успевали."""
346,"""Сегодня очень тяжёлый день, выжить бы."""
347,*о плохих скетчах*
348,*Лысенко про устройство ракеты*
349,"""Никита, у вас ключи есть от лаборантской, давай скелет достанем...из шкафа))))"""
350,"П: А это что? С: тень; Д: От ядерного взрыва? С: от вазы; Д: После ядерного взрыва тоже тени остаются...А потом начинается ядерная зима...Она как обычная зима, только пепел вместо снега падает...И люди умирают.………………….а у нас ЖИВОПИСЬ."
351,"""Пока вы раскладывались, у меня борода успела отрасти."""
352,"П: Что это у вас? С: Баночка с водой. П: Это не баночка, а стопка для водки. Купите большую нормальную банку!"
353,"""У женщины грудь и грудь, а у мужчины груууудь. Поэтому сейчас у вас Аполлон с лактацией."""
354,"""Вот почему нормальным архитекторам никогда скучно не бывает. Они ходят по Москве, глазеют и улыбаются!"""
355,*смотрит на работу студента*
356,16 missed calls
357,"""Я понимаю, полгода просидели дома - кофе...с коньяком, сигарета..."""
358,*пишем тест на вебинаре*
359,"""Вся жизнь это тортик. Бессмысленный и жирный…"""
360,"""Желательно, чтобы всё это сохранилось у вас в голове, но на флешке тоже можно."""
361,"*смотрит на фигуру, нарисованную студентом*"
362,"""… вы когда рождаетесь, вы типа думаете…"""
363,"""... еремная ямка попадает..  да нихрена никуда не попадает!"""
364,"""Вы когда-нибудь видели солнце за горизонтом?... Надеюсь, нет... """
365,*пара по рисунку*
366,"""Утят собрали - можно начинать! """
367,"""Если говорить про моих - они и тени не строят. Они беспросветные..."""
368,*пара по рисунку*
369,"""А вот здесь нужна трапециевидная трапеция."""
370,"""Блин, у вас сиська похожа на консервную банку квадратную!"""
371,"""Вот знаете, Аполлон здорового человека и Аполлон курильщика, вот у вас второй вариант."""
372,*студентке из Германии*
373,"""Отечественные антиковеды так нежно друг друга любят, что это мешает им дискутировать."""
374,"""Через время вы заметите, что ваши ряды поредеют, кого-то вдруг не стало. И виноват в этом будет не коронавирус, а первая аттестация."""
375,"""Вот видишь вон ту девочку? Она опоздала на ползанятия, потом ещё треть занятия валялась на полу, и всё равно тебя опережает!"""
376,"""Может вы ещё и рисовать умеете??)"""
377,"""Какие глазки? У тебя крыша черепа съехала."""
378,"""Обжорство...ну-ну...какой же это смертный грех? Человек любит есть!"""
379,"""Сотри свою криворукость."""
380,"""Где застрянет, там и застрянет."""
381,"""Как ваш учитель, я должен сделать себе сеппуку."""
382,*разговор о Софии Константинопольской*
383,*групповой чат по английскому переполнен вопросами студентов*
384,*по-рыжкински восторженно*
385,*Записи со 2 курса...  Когда консультирует кафедра*
386,"""Во всём виноваты римляне... """
387,"""Вот будете сидеть с друзьями, все коктейль сосут, а вы с Петраркой."""
388,*Увеличивает в фотошопе нарисованное ученицей лицо*
389,"""Восьмерку можно от души резать!"""
390,"ЧТО Ж, КОНКУРС!!!🤡🤌"
391,*стрим с разбором работ по рисунку у Васильва А.В. и Криволапова А.Н.*
392,"""Фуражка - это коту смерть.. Не знаю, почему коту, но нарисовано ужасно!"""
393,"""У семи нянек дитя без проекта."""
394,"""Да хрен там с этой живописью! Лучше скажите, вот вы знали, что Кенга и Ру — это типа кенгуру?! Я с этого в полном шоке...."""
395,*подходит на паре к студентке*
396,*живопись*
397,"""Нельзя просто так взять и использовать градиент. Мы вам мем такой сделаем."""
398,"""Не стесняйтесь задавать вопросы, а то просидите до шестого курса как воробушки-социофобушки."""
399,"""Назвался груздем - полезай в кузовок."""
400,- А если мы решили неправильно? - А зачем вы решаете неправильно?
401,"- Что вы думаете о закрытии макдоналдса? - Я считаю, что это просто беспрецедентная веселямба"
402,Если математик готов поехать в лес с двадцатью свиньями и стать алкашом то он хороший математик
403,"Вернемся к нашим баранам, точнее, к нашим людям."
404,Какой у меня путь?  Да дырку заткнуть
405,"-здравствуйте, как у вас дела?  -наши успехи неоспоримы!    Липатов  ученица: внатуре  Липатов: вы что! вы знаете кто это говорит? это тюремный жаргон, ни в коем случае не повторяйте его, девочки тем более."
406,"«И тут бояре поняли, что либо они сейчас его пригандошат, либо никогда»"
407,"Лучше недожрать, чем недоспать."
408,"То, что я сейчас скажу, это мировой уровень. Рассказываю только своим. Правда я публиковал уже эту информацию..."
409,
410,"Ну всегда есть муж, жена и какой-то friend"
411,"…франшиза, как светлой памяти-Макдональдс, который разрабатывал множество бургеров "
412,"Утка не будет завороженно смотреть, она будет улетать"
413,"Так, пишите мою почту. Аторин собака.. ну не в смысле что я собака, а значок такой.."
414,"Скромность украшает тогда, когда украшать больше уже нечему. "
415,"Смысл жизни в том, что я хочу спать, а в холодильнике у меня шампанское и креветки"
416,«Взяли всего 3 зернышка из большой кучи … философского ЗЕРНА» #ШишковаАВ #философи
417,"""...И, более того, их банально юзали - использовали"" ©"
418,"*вопрос о расположение трёх фигур в кадре* ""Лежать трахать они друг друга будут!.."""
419,"Во время игры в волейбол не важно кто рядом. Хоть немец француз, поляк, негр.. Хотя нет, негра увидишь"
420,Учитель: -у нас с вами сегодня 2 пары? -да -точно? -да -о боже
421,"* У одного студента на столе бутылка * ""Не изучайте бутылку, изучайте риторику бизнес-коммуникаций."""
422,"Ну, что такое неопределённость, в принципе, понятно"
423,"«Если вы будете быстро бежать, то коронавирус вас не догонит» "
424,"«Хотели конфету, получили сигарету.»"
425,"«Я считаю, что экономисты в нашем вузе это элита»"
426,«С вами начнёшь общаться - начнёшь взрослеть обратно…»
427,"«Правильно говорят, мозги не видны , но их отсутствие заметно»"
428,"«Чтобы вылететь из ГУУ, нужны крылья»"
429,"Любителям выражения ""доброго времени суток"": у суток не может быть доброго времени, потому что всегда есть что-то плохое."
430,"Чтобы продать что-нибудь ненужное, нужно сначала купить что-нибудь ненужное - это и есть квинтэссенция международной торговли. "
431,"Отец - президент  Супруга -менеджер,она лучше всего знает возможности семьи"
432,Гегель мужик крутой
433,"Цукерберг купил ватцап за 10 лярдов долларов.  Во дурак, а я бесплатно скачал￼"
434,"""Чем более многочисленная аудитория, тем ниже её интеллектуальный потенциал."""
435,-Чо фоткаешь? Давай я вот так встану ￼
436,"«Если раб работает плохо его нельзя сразу убивать, сначала побить»  Чернов С."
437,"""Посмотри на айфон и увидишь, что твое яблоко сильно надкусано американскими агентами""  #ТаболинВВ #Конституционноеправ"
438,Вы - шахтёры умственного труда. А я че? А я - аристократ
439,"«Отсутсвие у вас судимости-не ваша заслуга, а наша недоработка»"
440,Эта мысль бродит с тех времён. И наше государство бродит вместе с ней.
441,"Здоровых людей - нет, есть - недообследованные "
442,"""Чёртово колесо крутится до тех пор пока на нём не умрёт тот кто крутится или колесо не сломается""  #ТерверСилае"
443,"Если Луна сделана из сыра, то Париж - столлица Франции (истинное сужение)"
444,"А знаете, почему вы не успеваете? Потому что вы курите! "
445,"«Чем старше человек становится, тем он тупее»"
446,"""У меня нет проблем с Бельгией, у Бельгии проблемы со мной"" #Замятин"
447,Сейчас у вас время для реализации вашего конституционного права на обед
448,"*на перекличке говорит фамилию девочки, которой нет * - она забыла пропуск, и ее не пустили - надо бы и мне как-нибудь забыть "
449,"Да тут целое преступное сообщество собралось - вас 3 преступные группы сидит, уже 2.5 года срок мотаете"
450,Студентка у доски уже 30 минут:
451,"""Математика должна быть скучной, нудной, все от неë должны стонать """
452,"Карьеру сделаешь, обернёшься, а всех хороших девчонок разобрали. Остался один сэконд хэнд"
453,"-А можно Вам с айфона показать? -С какого айфона? ты мне еще патифон, блин, покажи!"
454,"""С женихами переписываться запрещено, я ревную. После лекции-не ревную"""
455,"""Так и хочется сказать,бог с вами"" (Ефимова)"
456,Меня не устраивает полное отсутствие вашего присутствия  #горелова #микроэкономик
457,"Ух ты, уже время закончилось? То-то меня кофе зовут пить"
458,"С точки зрения философии Древнего Востока, вы занимаетесь хреновиной"
459,"экзистинциальные. они говорят о существовании или отсутствии чего-либо. например, Бога нет."
460,"Ну что говорить,богата наша земля дебилами "
461,"- А военная служба, знаете, дело неприятное: там порой убивают. © "
462,Кто хочет такую футболку ? 😻 Условие максимально простое! Просто поставь лайк :
463,"Почему на клавиатуре русские буквы не могут сделать одним цветом, а враждебные другим? "
464,Ну и зачем я это написал...  Зачем я это написал...  Зачем я это написал...
465,"«Орёл - птица гордая, пока не пнёшь, не полетит» "
466,"«Дамочка досталась с большим пробегом, зато на автомате»"
467,"Если еврей вышел без скрипки, значит он программист!"
468,"""Мужики умирают от несправедливости"""
469,"Машина тупая, не потому что тупая, а потому что тупая"
470,Был вот Путин недавно в городе Череповец Череп... Овец...
471,"Красная кофточка мне мешает, еще и всех девушек там ввел в грех."
472,Австралия горит  А ведь столько можно было бумаги сделать #Кутернин #МатАнали
473,"«А те кто зачёт сдают, приходят вместе с автоматчиками... ...ха... двусмысленно как-то.... автоматчики.. пиу-пиу-пиу»"
474,"Учиться можно и нужно всю жизнь. Это побег от Паркинсона, Альцгеймера и прочих неприятностей, связанных с тем, что мыслительная деятельность в старости вами не производится, и человек превращается в овощ. Но,с другой стороны, и среди вас тоже такие есть. "
475,"Я смотрю не на время, а на часы   #Ефимова #математик"
476,Тряпка мокрая - не высохнет
477,"Я сейчас похвастаюсь чем, что я знаю, а вы нет. "
478,-Вы как то скромно стрелочку нарисовали... Ваще БАЛДЕЖ
479,"Мне нужны сегодня все справки. Поэтому беги, Форест, беги"
480,- С малыми членами работать не буду - Буду работать сразу с большими
481,"-Ваше тело входит в понятие ""я""? -ну да -а вот Циалковский говорил, что такой хлам нужно выкидывать"
482,"-монарха отрекали от церкви...а это знаете, как больно...."
483,"Справедливости нет, а баланс есть"
484,"«Это не математика, а бытовуха какая-то!»"
485,dx - это как рыба-прилипала к интегральный акуле.
486,"Студенчество - это явление, а вот то, что вы бухаете по выходным - это процесс."
487,
488,"""Чувствуется железная рука интернета, всяких сайтов студенческих."""
489,"И таким образом, это неопределённость, которую нельзя раскрывать и которую каждый должен уметь раскрывать.  ©Паршикова Г. Ю."
490,любой дворник изучит учебник по маркетингу 
491,-какая переменная в задаче? -перемена? перемена через 15 минут
492,
493,"Раньше сядешь, раньше выйдешь "
494,"Если вы не знаете как решать тест-молитесь, Бог вам в помощь"
495,"""Впереди вас ждёт большое, счастливое и нервное будущее."""
496,
497,"""Помочь соседу - это долг каждого студента."""
498,"Если я этого не помню, значит этого не было"
499,"«Вы — удивительный человек, в нашей стране у вас много возможностей, хотела бы я быть таким же наивным субъектом как вы»."
500,"У кольца нет ни начала, ни конца! #Рябцев #Химфак_БГ"
501,-Мы вам полностью доверяем. -Не надо мне полностью доверять. Это путь в никуда. #Рушнова #ФізФак_БДУ #физфак_бг
502,"- слышишь на улице свистит что-то? - нуууу, да - это двойка на посадку заходит #лемешевский #иб_бг"
503,"Сергей Васильевич мне друг, но истина дороже "
504,"Вы наверное часто слышите постоянно по новостям ""Там сбили лося, там сбили лося""  Так вот вопрос, для чего он прется на эту трассу? А  как раз для того, чтобы получить свою дозу наркотиков"
505,"Решаем задачу о бесконечно глубокой потенциальной яме... В принципе, физикам в ней привычно находиться. #физфак_БГУ #Шершен"
506,*отвечаем задачу по гражданскому праву*
507,контекст:  Практика по операционным системам. У студента что-то не получается. Рябый(всей группе):  Я НЕ понимаю. За ЧТО мне платят деньги?!
508,Грошык - это не Соседи.  #Биофак_БГУ #Боровко
509,"Праздность - причина всех проблем, мои хорошие! #Паречина #химфак_бг"
510,"Хоть инстасамка, хоть инстальвица, да будьте вы кем угодно!!!"
511,Если я на семейном празднике включу шансон – это будет последний семейный праздник #Солодухо #ФФСН_бг
512,"Я вас призываю: будьте осторожны! Никакая химия вам будет не нужна, если вы останетесь без глаз! #Стрельцов #химфак_бг"
513,ИБ не для бедных  #Зубарев #иб_бг
514,"Если вы видите в своих словах какой-то смысл, то он где-то далеко спрятан. #Гарник #филфак_БГ"
515,"Моей книги уже нет в стране 7 лет, в интернете ее тоже нет, но к следующей лекции вы должны прочитать первые 5 глав"
516,"Купила инновационную тушь. Накрасила глаза - вылитая корова. Выкинула в мусорку, мне такая инновация не нужна. #Бондаренко #юрфак_бг"
517,"Представьте, это трудно себе представить, но вы попытайтесь... что экспериментатор не ленивый... "
518,"Это, как говорится, и козе понятно, а козлу - нет, поясните, пожалуйста"
519,"Если к вам в дверь утром постучалась женщина. Маловероятно, что она королева. Скорей всего, она молочница.  #ФМО_БГУ #Яшки"
520,После аналитической химии можно стать хорошим барменом #Кондрев #химфак_бг
521,–А Вас что радует? –Меня уже ничего в этой жизни не радует..
522,"Я тоже могу вас больно укусить, но я не ядовитая. #Мелешко #Биофак_БГ"
523,"С: а какую оценку вы мне поставили? П: оценка не плохая, но и не очень хорошая."
524,"А меня вот Гитлером назвали)0)) Раньше была Таносом, теперь Гитлер.... говорят про карму что-то.. #ЮК_БГУ #Щёчин"
525,"У меня сегодня мозги есть, а завтра куда-то пропадают"
526,"План по студентам перевыполним, если не отчислим "
527,"В таблице есть только те интегралы, которые есть в таблице  #Дегтяренко #химфак_бг"
528,"""Я хотел человека нарисовать, а получился крокодил. Ладно, костюмчик потом дадим"" #Яскевич #ффсн_бг"
529,"-у нас будет тем. контроль по данной теме и часть работы будет в квизе, так что морально подготовьтесь, если нужно сходите к нашей социальной службе #Врублевская #ЮкБ_Г"
530,"Я была во всех женских колониях Беларуси. Хочу сказать, что условия довольно комфортные #Свило #фмо_бг"
531,"Эту книгу можно найти в интернете. Но не всегда: нужно уметь искать. А сейчас часто за книгу просят *жестом показывает, что деньги*. Это печально. Книга перестаёт быть другом. #Репников В.И. #ФПМИ_БГ"
532,"Разговор про радикалы в химии: ""Они не консерваторы, а радикалы!""  #Химфак_БГУ #Исако"
533,"скажу вам по секрету, что я, в общем-то, не глупый человек, можно сказать, даже умный, very clever man, ""смеётся""... у вас чувство юмора-то есть? а то без него совсем как-то.. #Чудаков #юрфак_бг"
534,"П: это у вас там карты таро лежат? С: Да, они П: Я конечно не цыганка, но нагадываю вам пересдачу  #Паречина #химфак_бг"
535,Преступная организация - это весь курс 2-9.
536,"Статистики не было аж с 31.12.2018! 💔 1.01.2018-1.04.2022 По 500+ лайков, дамы и господа"
537,"Сегодня 1 апреля, поэтому все, что я буду сегодня читать - дезинформация #Еровенко #химфак_бг"
538,"Студенты называют нас ""преподами"". Но они и не догадываются, что существует слово ""студики"". #Садовская #филфак_бг"
539,кураторский на тему «борьба с наркотиками»  П: большинство случаев зарегистрировано в городе  С: в деревне негде покупать  П: в деревне можно выращивать!  #Судниченко #юк_бг
540,"""мы прибываем в такой линейной эйфории"""
541,"Если вы не прилагаете усилий, эволюция на вас остановится. #Гарник #филфак_БГ"
542,"Сразу видно, люди нормальные. Я бы тоже не запомнил, если бы впервые это увидел…"
543,"Что такое матожидание? Это когда парень девушку ждёт-ждёт, долго ждёт, а она не приходит. Он переходит на нецензурную брань. Вот это называется мат ожидание!  #Лаппо #фпми_бг"
544,"*Кадурин после того, как студентка излишне экспрессивно защитила свою позицию* - Послушайте... Если бы вы не были так похожи на мою племянницу, я бы высказался гораздо резче. *после аналогичного поведения другого студента* - Алексей... А вот вы не похожи на мою племянницу. #юрфак_БГУ #Кадури"
545,"""Что вы так долго плавите? Всем двойки."" #Химфак_БГУ #Исако"
546,"как говорится, если вы поколение некст, и можете свайпить так, что уделаете меня с бумажным кодексом, то ради бога #Пухов #юрфак_бг"
547,Вот услышали фразу от преподавателя - запоминайте. Потом можно постебаться. Но после сессии #РФиКТ_бгу #Ушаков Д.В
